epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1108.07,1.50808,1.41925,1.04962,0.44172,0.32415,0.30348,0.14938,1.41474,0.94268,0.99549,0.00333257,0.00333257,0.00333257
2,2270.1,1.45857,1.04926,1.02717,0.48268,0.33794,0.33934,0.16707,1.39031,0.88577,0.99252,0.00653392,0.00653392,0.00653392
3,3360.88,1.46416,0.98876,1.03314,0.4792,0.36115,0.35646,0.17476,1.37535,0.84284,0.99469,0.00960327,0.00960327,0.00960327
4,37224.4,1.44702,0.94489,1.03018,0.51569,0.38138,0.38676,0.19056,1.34706,0.80559,0.98453,0.009406,0.009406,0.009406
5,37920.2,1.41391,0.90033,1.01813,0.53555,0.4015,0.40744,0.20222,1.32949,0.78348,0.97814,0.009208,0.009208,0.009208
6,38607.1,1.39418,0.87722,1.00994,0.55881,0.41364,0.42585,0.21145,1.31634,0.7647,0.97254,0.00901,0.00901,0.00901
7,39290.9,1.38065,0.85848,1.00523,0.56738,0.41525,0.43385,0.21761,1.30415,0.75175,0.96756,0.008812,0.008812,0.008812
8,39975.3,1.37048,0.84762,1.00086,0.5717,0.42317,0.44269,0.22305,1.29834,0.74211,0.96603,0.008614,0.008614,0.008614
9,40663.3,1.36349,0.83994,0.99925,0.58214,0.42641,0.44868,0.22619,1.29373,0.73587,0.96437,0.008416,0.008416,0.008416
10,41346.2,1.35595,0.83105,0.99624,0.57701,0.43079,0.45307,0.22967,1.28866,0.73071,0.96201,0.008218,0.008218,0.008218
11,42032.8,1.35147,0.82535,0.99366,0.57596,0.4342,0.45493,0.23145,1.28538,0.72666,0.95988,0.00802,0.00802,0.00802
12,42717.2,1.34503,0.81931,0.99112,0.58574,0.43553,0.45954,0.23366,1.28355,0.72337,0.95889,0.007822,0.007822,0.007822
13,43401.9,1.34332,0.81623,0.9899,0.59105,0.43617,0.46112,0.23515,1.28143,0.72086,0.95794,0.007624,0.007624,0.007624
14,44085,1.33732,0.81068,0.98733,0.59265,0.43593,0.46359,0.2362,1.27984,0.71907,0.9572,0.007426,0.007426,0.007426
15,44771,1.33502,0.80704,0.98728,0.59682,0.43618,0.46461,0.23694,1.27888,0.71756,0.95681,0.007228,0.007228,0.007228
16,45455.9,1.3308,0.80196,0.98594,0.59328,0.43948,0.46587,0.23764,1.27792,0.71618,0.95648,0.00703,0.00703,0.00703
17,46139.6,1.33003,0.80008,0.98524,0.59478,0.44055,0.46751,0.23861,1.27709,0.71482,0.95604,0.006832,0.006832,0.006832
18,46825.6,1.32523,0.79638,0.9843,0.59454,0.44003,0.46866,0.23927,1.27627,0.71364,0.95575,0.006634,0.006634,0.006634
19,47511.7,1.32359,0.79498,0.98308,0.59456,0.44145,0.46941,0.24,1.27539,0.71249,0.95541,0.006436,0.006436,0.006436
20,48198.2,1.32226,0.793,0.98256,0.58983,0.44374,0.47009,0.24051,1.27445,0.71144,0.95502,0.006238,0.006238,0.006238
21,48882.9,1.31933,0.78943,0.98018,0.59442,0.44465,0.47195,0.24123,1.27363,0.71028,0.95451,0.00604,0.00604,0.00604
22,49567.8,1.3142,0.78445,0.97977,0.59143,0.44637,0.47225,0.24168,1.27265,0.70903,0.95406,0.005842,0.005842,0.005842
23,50253.9,1.31483,0.78339,0.97882,0.59893,0.44568,0.4741,0.24263,1.27182,0.70795,0.95364,0.005644,0.005644,0.005644
24,50945.3,1.3104,0.77967,0.97776,0.59609,0.44878,0.47466,0.24316,1.27122,0.7068,0.95323,0.005446,0.005446,0.005446
25,51631.4,1.30787,0.77666,0.97713,0.59792,0.44848,0.4763,0.2438,1.27039,0.70583,0.9528,0.005248,0.005248,0.005248
26,52316.8,1.30776,0.77614,0.97686,0.60084,0.44736,0.47694,0.24441,1.26947,0.70479,0.95228,0.00505,0.00505,0.00505
27,52998.1,1.30558,0.77354,0.97619,0.60039,0.44848,0.47831,0.24508,1.26861,0.70383,0.95182,0.004852,0.004852,0.004852
